"school_id","school_name","school_city","school_state","created_at","updated_at","league_id","school_address","school_contact","school_phone","school_fax","school_zip","school_email","billing_name","billing_address","billing_address2","billing_city","billing_state","billing_zip","billing_purchase_order","old_school_id"
4359,"Cudahy Elementary School","Cudahy","WI","2015-05-07 15:11:59","2015-05-07 15:11:59",2,"5950 S. Illinois Ave.",0,"(414) 294-7100","(414) 489-3006",53110,"","Cudahy SD","2915 E. Ramsey Ave.","","Cudahy","WI",53110,27720,4149
4109,"Baraboo High School","Baraboo","WI","2015-05-07 15:11:57","2015-05-07 15:11:57",2,"1201 Draper St.",0,"(608) 355-3940","(608) 355-3962",53913,"theilman@baraboo.k12.wi.us","SD of Baraboo","101 Second Ave.","","Baraboo","WI","53913-2494","",2891
5139,"Parkway Christian Academy","Oak Creek","WI","2015-05-07 15:12:04","2015-05-07 15:12:04",2,"10950 S. Nicholson Rd.",0,"(414) 571-2680","(414) 764-0596",53215,"","","","","","","","",4068
5651,"St. Leonard School","Muskego","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"W173 S7777 Westwood Drive",0,"262-679-0451","",53150,"tinateach79@yahoo.com","Augustina L. Parr","1136 South 123rd Street","","West Allis","WI",53150,"",4351
5400,"St. Agnes School","Butler","WI","2015-05-07 15:12:06","2015-05-07 15:12:06",1,"12801 W. Fairmount Ave.",0,"(262) 781-4996","",53007,"ellingenj@archmil.org","","","","","","","",3627
5658,"St. Lucy School","Racine","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"3035 Drexel Ave.",0,"(262) 554-1801","(262) 554-7618",53403,"","","","","","","","",377
4636,"Holy Spirit School","Appleton","WI","2015-05-07 15:12:01","2015-05-07 15:12:01",1,"W2796 County Hwy KK",0,"(920) 733-5214","(920) 733-5440","54915-9345","","","","","","","","",3926
5660,"St. Luke","Brookfield","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"1305 Davidson Rd.",0,"(262) 782-0032","(262) 782-5852",53045,"kbowers@stlukebrookfield.org","","","","","","","",3494
4125,"Ben Franklin School","Menomonee Falls","WI","2015-05-07 15:11:58","2015-05-07 15:11:58",2,"N81 W14701 Franklin Dr.",0,"(262) 255-8470","(262) 255-8482",53051,"scores@educontest.com","Menomonee FallsSD","N84 W16579 Menomonee Ave.","","Menomonee Falls","WI",53051,"",3372
5919,"Trinity Catholic School","Green Bay","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",1,"1087 Kellogg St.",0,"(920) 499-1919","(920) 499-9166","54303-3113","","","","","","","","",3703
4386,"Dominican High School","Whitefish Bay","WI","2015-05-07 15:11:59","2015-05-07 15:11:59",1,"120 E. Silver Spring Dr.",0,"(414) 332-1170","(414) 332-4101",53217,"","","","","","","",3453,4056
4387,"Dousman","Dousman","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"341 E. Ottowa Ave.",0,"(262) 965-6550","",53118,"","","","","","","","",3489
4402,"Dyer Intermediate School","Burlington","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"201 S. Kendrick Ave.",0,"(262) 763-0220","(262) 767-5583",53105,"","Burlington ASD","100 North Kane St.","","Burlington","WI","53105-1896",105259,2940
4405,"East Elementary School","New Richmond","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"701 E. Eleventh St.",0,"(715) 243-7400","(715) 243-8417",54017,"","New Richmond SD","701 E. 11th St.","","New Richmond","WI",54017,"043164",3346
5943,"University School of Milwaukee","Milwaukee","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"2100 W. Fairy Chasm Rd.",0,"(414) 540-3249","",53217,"","","","","","","","",3609
5691,"St. Mary Springs High School","Fond du Lac","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"255 County Rd. K",0,"(920) 921-4870","(920) 921-2786",54935,"jerickson@smsacademy.org","","","","","","","",646
4156,"Blessed Sacrament School","LaCrosse","WI","2015-05-07 15:11:58","2015-05-07 15:11:58",1,"2404 King St.",0,"(608) 782-5564","(608) 782-7765",54601,"","Coulee Catholic Schools","521 S. 13th Street","","LaCrosse","WI",54601,29776,4228
4414,"Edgerton Elementary","Hales Corners","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"5145 S. 116th St.",0,"414-525-8900","414-525-8901",53130,"croth@whitnall.com","Rene Freyer","5000 S. 116th Street","","Greenfield","WI",53228,"",4612
5952,"Valley View Elementary","Menomonee Falls","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"W180 N8130 Town Hall Rd.",0,"(262) 250-2620","(262) 255-8476",53051,"vvlib@execpc.com","Sch. Dist. Of Menomonee Falls Admin. Office","N84 W16579 Menomonee Ave.","","Menomonee Falls","WI",53051,8220250037,796
5712,"St. Matthias","milwaukee","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"9300 w beloit rd",0,"414-321-0894","414 321-9227",53227,"kmace@stmatthias-milw.org","","","","","","","",4480
4441,"FACES IMS","Fond du Lac","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",1,"63 E. Merrill Ave.",0,"(920) 921-9610","",54935,"","","","","","","","",3646
5210,"Regis High School","Eau Claire","WI","2015-05-07 15:12:05","2015-05-07 15:12:05",1,"2100 Fenwick Ave.",0,"715-830-2271","715-830-5461",54701,"sgarcia@case.k12.wi.us","","","","","","","",4596
4443,"Fairview Elementary","Krakow","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"2840 Hwy. 32",0,"(920) 869-6300","(920) 899-6302",54137,"","Pulaski CSD","PO Box 36","","Pulaski","WI",54168,8800701013,3996
5726,"St. Monica School","Whitefish Bay","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"5635 N. Santa Monica Blvd",0,4143323660,4143328649,53217,"broeck@st-monica.org","St. Monica School","5635 N. Santa Monica Blvd.","","Whitefish Bay","WI",53217,"CML1314BR",4905
5727,"St. Monica School","Whitefish Bay","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"5635 N. Santa Monica Blvd",0,4143323660,4143328649,53217,"broeck@st-monica.org","Debora Lynch","St. Monica School","5635 N. Santa Monica Blvd.","Whitefish Bay","WI",53217,"CMT1213",4756
4708,"Ithaca High School","Richland Center","WI","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"24615 State Hwy 58",0,"(608) 585-2311","(608) 585-2505",53581,"rushmik@ithaca.k12.wi.us","SD of Ithica","24615 State Hwy. 58","","Richland Center","WI",53581,8090178,92
5733,"St. Patrick Catholic","Janesville","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"305 Lincoln Ave",0,"608-752-2031","",53548,"pmlakoch@charter.net","Kenneth Colle","305 Lincoln Ave","","Janesville","WI",53548,"",4833
5989,"Waukesha South High School","Waukesha","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"406 S. East Ave.",0,"(262) 470-3845","(262) 470-3720",53186,"","","","","","","","",3731
4198,"Burdick School","Milwaukee","WI","2015-05-07 15:11:58","2015-05-07 15:11:58",2,"4348 S. Griffin Ave.",0,"414-294-1200","414-294-1216",53207,"contijl@milwaukee.k12.wi.us","","","","","","","",4309
5734,"St. Patrick Catholic","Janesville","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"305 Lincoln Ave",0,"608-752-2031","",53548,"pmlakoch@charter.net","Kenneth Colle","305 Lincoln Ave","","Janesville","WI",53548,"",4834
5990,"Waupun High School","Waupun","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"801 E. Lincoln St.",0,"(920) 324-5591","(920) 324-6995",53963,"","","","","","","","",4121
5223,"Riverside Elementary","Menomonee Falls","WI","2015-05-07 15:12:05","2015-05-07 15:12:05",2,"W153 N8681 Margaret Rd.",0,"(262) 255-8484","(262) 255-8393",53051,"","SD of Menomonee Falls","N84 W16579 Menomonee Ave.","","Menomonee Falls","WI",53051,"118-23055",2083
5991,"Wauwatosa East High School","Wauwatosa","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"7500 Milwaukee Avenue",0,"(414) 773-2000","(414) 778-6564",53213,"","Wauwatosa SD","12121 W. North Ave.","","Wauwatosa","WI",53226,"",3273
5482,"St. Charles","Hartland","WI","2015-05-07 15:12:07","2015-05-07 15:12:07",1,"526 Renson Road",0,"262-367-2040","",53029,"marystawicki@yahoo.com","St. Charles School","526 Renson Road","","Hartland","WI",53029,"",4591
4717,"Jefferson Middle School","Jefferson","WI","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"501 S. Taft Ave.",0,"(920) 675-1305","(920) 675-1320",53549,"","Jefferson SD","206 S. Taft Ave.","","Jefferson","WI",53549,"0010701047",4256
4207,"Campbellsport Elementary","Campbellsport","WI","2015-05-07 15:11:58","2015-05-07 15:11:58",2,"751 Hwy 57",0,"(920) 533-8032","",53010,"","Campbellsport SD","114 W. Sheboygan St.","","Campbellsport","WI",53010,60730,3754
6256,"Holy Wisdom Academy","Milwaukee","WI","2015-10-08 12:27:34","2015-10-13 16:36:39",1,"3344 S 16th Street",0,"414-383-3453","414-672-2645",53215,"zbikowskia@archmil.org","Beth Eichmann","3307 S. 10th Street","","Milwaukee","WI",53215,"001",""
5746,"St. Patrick's School","Janesville","WI","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"305 Lincoln St.",0,"(608) 752-2031","(608) 754-0357",53545,"","","","","","","","",3081
5495,"St. Dominic","Brookfield","WI","2015-05-07 15:12:07","2015-05-07 15:12:07",1,"18105 West Capitol Dr.",0,"262-783-7565","262-783-5947",53045,"mary.goll@stdominic.net","","","","","","","",4760
5496,"St. Dominic School","Brookfield","WI","2015-05-07 15:12:07","2015-05-07 15:12:07",1,"18105 W. Capitol Dr.",0,"(262) 783-7565","",53045,"","","","","","","","",4083
4475,"Fremont Elementary","Fremont","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"615 Wolf River Dr. PO Box 308",0,"(920) 446-2231","(920) 446-2347",54940,"","SD Weyauwega-Fremont","410 E. Ann St. PO Box 580","","Weyauwega","WI",54983,1010600097,4011
5755,"St. Peter Catholic School","Middleton","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"7129 Co. Hwy. K",0,"608-831-4846","608=832-6095",53562,"mgrogan@stpetermiddleton.org","","","","","","","",4857
6273,"Holy Family Catholic School","Waterloo","WI","2015-10-14 00:02:16","2015-10-14 00:02:16",1,"205 Milwaukee Ave",0,"920-478-3221 x31","",53594,"judy.coroneos@holyfamily.info","Holy Family Catholic School","205 Milwaukee Ave","","Waterloo","WI",53594,"",""
6018,"Weyauwega Elementary","Weyauwega","WI","2015-05-07 15:12:10","2015-05-07 15:12:10",2,"400 East Ann St.  PO Box 580",0,"(920) 867-2148","(920) 867-8121",54983,"","SD Weyauwega-Fremont","410 E. Ann St.  PO Box 54983","","Weyauwega","WI",54983,1020600110,4077
4234,"Catholic Central High School","Burlington","WI","2015-05-07 15:11:58","2015-05-07 15:11:58",1,"148 McHenry St.",0,"(262) 763-1510","(262) 763-1509",53105,"","","","","","","","",3659
5004,"North Junior High","Menomonee Falls","WI","2015-05-07 15:12:03","2015-05-07 15:12:03",2,"N88 W16750 Garfield",0,"(262) 255-8450","(262) 255-8475",53051,"borkbar@sdmf.k12.wi.us","SD of Menomonee Falls","N84 W16579 Menomonee Ave.","","Menomonee Falls","WI",53051,"",1005
6029,"Winneconne High School","Winneconne","WI","2015-05-07 15:12:11","2015-05-07 15:12:11",2,"PO Box 5000 233 S. 3rd Ave.",0,"(920) 582-5810","(920) 582-5813",54986,"kdp3943@juno.com","Winneconne CSD","233 S. 3rd Ave.","","Winneconne","WI","54986-5000","",3164
4494,"General Mitchell School","Cudahy","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"5950 S. Illinois Ave.",0,"(414) 769-2370","(414) 769-3006",53110,"genmit@execpc.com","Sch. Dist. Of Cudahy Bus. Office","2915 E. Ramsey Ave.","","Cudahy","WI","53110-0618",22568,767
4506,"Glenbrook Elementary School","Pulaski","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"143 W. Green Bay St. PO Box 36",0,"(920) 822-6029","(920) 822-6023",54162,"","Pulaski CSD","PO Box 36","","Pulaski","WI",54168,8800701013,3994
6054,"School #5591","Hartland","WI","2015-05-07 15:34:42","2015-05-07 15:34:42",1,"",NULL,"","","","","","","","","","","",""
5289,"Saint Patrick School","Mauston","WI","2015-05-07 15:12:05","2015-05-07 15:12:05",1,"325 Mansion Street",0,"608-847-5844","608-847-4103",53948,"stptofficelady@yahoo.com","Saint Patrick School","325 Mansion Street","","Mauston","WI",53948,110608,4468
5807,"St. Thomas Aquinas Academy","Marinette","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"1232 Garfield Ave.",0,"(715) 735-7174","(715) 735-7146",54143,"","","","","","","",3230,2112
6319,"St. Peter Catholic School","Middelton","WI","2015-10-26 19:18:29","2015-10-26 19:18:29",1,"7129 Co Rd K",0,"608-831-4846","",53562,"sspielbauer@stpetermiddleton.org","St. Peter Catholic School","7129 Co Rd K ","","Middleton","WI",53562,"",""
5808,"St. Thomas Aquinas Academy","Milwaukee","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"341 E. Norwich St.",0,"(414) 744-1214","",53207,"","","","","","","","",3864
5810,"St. Thomas Aquinas School","Waterford","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"302 S. Second St.",0,"(262) 534-2265","(262) 534-5549",53185,"","","","","","","","",4186
4276,"Chilton Middle School","Chilton","WI","2015-05-07 15:11:59","2015-05-07 15:11:59",2,"421 Court St.",0,"(920)849-9152","",53014,"biesek@chilton.k12.wi.us","School District of Chilton","530 W. Main St.","","Chilton","WI",53014,"",4567
4277,"Chilton Middle School","Chilton","WI","2015-05-07 15:11:59","2015-05-07 15:11:59",2,"421 Court St.",0,"920-849-9152","",53014,"biesek@chilton.k12.wi.us","","","","","","","",4820
4536,"Hales Corners Elementary","Hales Corners","WI","2015-05-07 15:12:00","2015-05-07 15:12:00",2,"11319 W. Godsell Ave.",0,"414-525-8800","414-525-8801",53130,"croth@whitnall.com","Rene Freyer","5000 S. 116th Street","","Greenfield","WI",53228,"",4613
4793,"Lannoye Elementary School","Green Bay","WI","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"2007 County U",0,"(920) 865-6400","(920) 865-6402",54313,"","Pulaski CSD","PO Box 36","","Pulaski","WI",54168,8800701013,3993
5563,"St. James School","Madison","WI","2015-05-07 15:12:07","2015-05-07 15:12:07",1,"1204 St. James Ct",0,"608-268-9935","",53715,"mccall.st.james@gmail.com","Michael Benesh","1204 St. James Ct","","Madison","WI",53715,"",4793
5828,"St. Victor","Monroe","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"1416 20th Ave.",0,"(608) 325-3395","(608) 325-3115",53566,"","","","","","","","03-36",2882
6340,"Sacred Heart Catholic School","Reedsburg","WI","2015-10-30 13:03:12","2015-10-30 13:03:12",1,"545 North Oak Street",0,"608-524-3611","",53959,"shs@rucls.net","Sacred Heart Catholic School","545 North Oak Street","","Reedsburg","WI",53959,"PO103015TM",""
6341,"Divine Savior Catholic School","Fredonia","WI","2015-10-30 14:33:50","2015-10-30 14:33:50",1,"PO Box 250",0,"262-692-2141","",53021,"dscs.adubey@gmail.com","Teri Schueller","PO Box 250","","Fredonia","WI",53021,"",""
4050,"Albrecht Elementary School","Brodhead","WI","2015-05-07 15:11:57","2015-05-07 15:11:57",2,"1400 21st",0,"(608) 897-2146","(608) 897-2212",53520,"","Brodhead SD","2501 W 5th Ave.","","Brodhead","WI",53520,1000104132,2932
5332,"Shady Lane Elementary","Menomonee Falls","WI","2015-05-07 15:12:06","2015-05-07 15:12:06",2,"W172 N8959 Shady Lane",0,"(262) 255-8480","(262) 255-8448",53051,"slcomm@execpc.com","Administration Office","N84 W 16579 Menomonee Ave.","","Menomonee Falls","WI",53051,9900550,1837
4059,"All Saints Catholic School","Antigo","WI","2015-05-07 15:11:57","2015-05-07 15:11:57",1,"419 Sixth Avenue",0,"(715) 623-4835","(715) 627-2969",54409,"","","","","","","","",3706
4579,"Hillcrest Elementary","Oneida","WI","2015-05-07 15:12:01","2015-05-07 15:12:01",2,"4193 Hillcrest Rd.",0,"(920) 272-6900","(920) 272-6905",54155,"","Pulaski CSD","PO Box 36","","Pulaski","WI",54168,8800701013,3997
5866,"Sunnyside Elementary","Sobieski","WI","2015-05-07 15:12:09","2015-05-07 15:12:09",2,"720 County Rd. C",0,"(920) 822-6200","(920) 822-6205",54171,"","Pulaski CSD","PO Box 36","","Pulaski","WI",54168,8800701013,3995
4083,"Aquinas High School","LaCrosse","WI","2015-05-07 15:11:57","2015-05-07 15:11:57",1,"315 S. 11th Street",0,"608-784-0287","608-782-8851",54601,"jason.weber@aquinasschools.org","","","","","","","",4946
6133,"Hales Corners Elementary","Hales Corners","WI","2015-08-31 16:07:47","2015-08-31 16:07:47",2,"11319 W Godsell",0,"414-525-8898","",53130,"croth@whitnall.com","Rene Freyer","5000 S 116 St","","Greenfield","WI",53228,"",""
4601,"Holy Family","Arcadia","WI","2015-05-07 15:12:01","2015-05-07 15:12:01",1,"532 McKinley",0,"608-323-3676","",54612,"jjereczek@holyfam.com","","","","","","","",4707
5369,"Southwest High School","Green Bay","WI","2015-05-07 15:12:06","2015-05-07 15:12:06",2,"1331 Packerland Dr.",0,"(920) 492-2650","(920) 492-5561",54304,"","","","","","","","",4072
4346,"Country Dale Elementary School","Franklin","WI","2015-05-07 15:11:59","2015-05-07 15:11:59",2,"7380 S North Cape Rd.",0,"(414) 529-8240","",53132,"","Franklin PS","8255 W Forest Hill Ave","","Franklin","WI","53132-9705",21448,3324
6140,"Chilton Middle School","Chilton","WI","2015-09-04 14:22:36","2015-09-04 14:22:36",2,"421 Court St.",0,"920-849-8109","",53014,"tiegsk@chilton.k12.wi.us","Chilton Middle School","421 Court St.","","Chilton","WI",53014,"",""
5136,"Panther Lake Elementary","Kent","WA","2015-05-07 15:12:04","2015-05-07 15:12:04",2,"20831 108th Ave. SE",0,"(253) 373-7470","(253) 373-7472",98031,"Judith.Hart@kent.k12.wa.us","Kent SD","12033 SE 256th St.","","Kent","WA","98030-6643","",3432
4376,"DeSales Catholic High School","Walla Walla","WA","2015-05-07 15:11:59","2015-05-07 15:11:59",1,"919 E. Sumach St.",0,"509-525-3030","509-527-0361",99362,"gfazzari@thewwcs.com","Greg Fazzari","919 E. Sumach St.","","Walla Walla","WA",99362,"",4963
5657,"St. Louise Parish School","Bellevue","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"133 156th Ave. SE",0,"(425) 746-4220","(425) 644-3294",98007,"veronicaw@stlouiseschool.org","","","","","","","",2783
5408,"St. Alphonsus Parish School","Seattle","WA","2015-05-07 15:12:06","2015-05-07 15:12:06",1,"5816 15th Ave. NW",0,"206-782-4363","",98107,"mizschmutz@gmail.com","","","","","","","",4780
5682,"St. Mary Magdalen","Everett","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"8615 7th Ave. SE",0,"(425) 353-7559","(425) 356-2687",98208,"","","","","","","","",4179
5178,"Presidents Elementary","Arlington","WA","2015-05-07 15:12:04","2015-05-07 15:12:04",2,"401 N. French St.",0,"(360) 435-5528","",98223,"","","","","","","","",3463
4669,"Immaculate Conception","Mt. Vernon","WA","2015-05-07 15:12:01","2015-05-07 15:12:01",1,"1321 E. Division Regional School",0,"360-428-3912","360-424-8838",98274,"tripp@icrsweb.org","","","","","","","",4944
5694,"St. Mary's Catholic School","Spokane Valley","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"14601 E. 4th Avenue",0,"(509) 924-4300","(509) 922-8139",99216,"","","","","","","","Linda",4050
5707,"St. Matthew","Seattle","WA","2015-05-07 15:12:08","2015-09-16 00:15:31",1,"1230 NE 127th",0,"206-362-2785","",98125,"ptburke@stmattschool.org","St Matthew School","1230 NE 127","","Seattle","WA",98125,"",4868
5964,"Villa Academy","Seattle","WA","2015-05-07 15:12:10","2015-05-07 15:12:10",1,"5001 NE 50th St.",0,"206-524-8885","206-523-7131",98105,"drepanich@thevilla.org","","","","","","","",4411
4942,"Moses Lake High School","Moses Lake","WA","2015-05-07 15:12:03","2015-05-07 15:12:03",2,"803 E Sharon Ave",0,5097662666,"",98837,"rberg@mlsd.wednet.edu","Moses lake SD","920 W Ivy Ave","","Moses Lake","WA",98837,9260900148,4600
6225,"Christ the King","Richland","WA","2015-09-30 20:07:21","2015-09-30 20:07:21",1,"1122 Long Avenue",0,5099466158,"",99354,"reid.peterson@pnnl.gov","Suzanne Russcher","1122 Long Avenue","","Richland","WA",99354,"",""
6257,"St. Charles","Spokane","WA","2015-10-08 13:26:06","2015-10-08 13:26:43",1,"N. 4515 Alberta",0,"(509) 327-9575","(509) 325-9553",99021,"amcnitt@dioceseofspokane.org","Andrea McNitt","N. 4515 Alberta","","Spokane","WA",99021,"Option B/Test Materials for Math3",""
4729,"John F. Kennedy Memorial High Schoo","Burien","WA","2015-05-07 15:12:02","2015-05-07 15:12:02",1,"140 S 140th St.",0,"(206) 246-0550","(206) 242-0831",98168,"","","","","","","","",3835
4988,"Newport High School","Bellevue","WA","2015-05-07 15:12:03","2015-05-07 15:12:03",2,"4333 128th Ave. S.E.",0,"(425) 456-7400","(425) 456-7530",98006,"","","","","","","","",1558
5502,"St. Edward","Seattle","WA","2015-05-07 15:12:07","2015-05-07 15:12:07",1,"4212 S. Mead St.",0,"(206) 725-1774","(206) 725-4569",98118,"","","","","","","","",3429
4746,"Kamiakin High School","Kennewick","WA","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"600 N. Arthur",0,"(509) 222-7000","(509) 222-7001",99336,"jeff.young@ksd.org","Kennewick SD No. 17","1000 W 4th Ave.","","Kennewick","WA",99336,415818,3964
5770,"St. Pius X Catholic School","Mountlake Terrace","WA","2015-05-07 15:12:09","2015-05-07 15:12:09",1,"22105 58th Avenue West",0,"425-778-9861","425-776-2663",98043,"robin.sergent@craneaerospace.com","Robin Sergent","14818 61st Drive SE","","Snohomish","WA",98296,"",4463
4763,"Kingspoint Christian School","Pasco","WA","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"7900 W. Court",0,"(509) 547-6498","(509) 547-6788",99301,"","","","","","","","GP1031",4104
5284,"Saint George's School","Spokane","WA","2015-05-07 15:12:05","2015-05-07 15:12:05",2,"2929 West Waikiki Rd.",0,"(509) 466-1636","(509) 467-3258","99208-9298","shane.kangas@sgs.org","Shane Kangas","2929 West Waikiki Rd.","","Spokane","WA",9901999208,"",441
4778,"Lakeview Elementary","Kirkland","WA","2015-05-07 15:12:02","2015-05-07 15:12:02",2,"10400 NE 68th St.",0,"(425) 822-4517","",98033,"","Lake Washington SD","PO Box 97039","","Redmond","WA",98073,610927,4115
4284,"Christ the King","Richland","WA","2015-05-07 15:11:59","2015-05-07 15:11:59",1,"1122 Long Avenue",0,"509-946-6158","",99354,"reid.peterson@pnnl.gov","Suzanne Russcher","1122 Long Avenue","","Richland","WA","","",4742
4287,"Christ the King","Seattle","WA","2015-05-07 15:11:59","2015-05-07 15:11:59",1,"415 N. 117th St.",0,"(206) 364-6890","(206) 283-2577",98133,"llundquist@ckseattle.org","","","","","","","",1942
4545,"Hansen Elementary","Olympia","WA","2015-05-07 15:12:01","2015-05-07 15:12:01",2,"1919 Road SixtyFive NW",0,"(360) 596-7400","(360) 596-7401",98502,"","","","","","","",22466,4066
6105,"St. Louise","Bellevue","WA","2015-07-21 17:27:39","2015-07-21 17:27:39",1,"133 156th Ave. SE",0,"425-746-4220","425-644-3294",98007,"veronicaw@stlouiseschool.org","","","","","","","",""
5338,"Shorecrest High School","Shoreline","WA","2015-05-07 15:12:06","2015-05-07 15:12:06",2,"15343 25th Ave. N.E.",0,"(206) 361-4286","(206) 361-4284","98155-7394","","Shoreline Sch.Dist. #412","18560 1st Ave. NE","","Shoreline","WA",98155,50588,436
5615,"St. Joseph Marquette","Yakima","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"202 North 4th Street",0,"(509) 575-5557","",98901,"eseidl@sjmms.org","Esther Seidl","202 North 4th Street","","Yakima","WA",98901,"",4751
5616,"St. Joseph Marquette","Yakima","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"202 N 4th Street",0,"(509) 575-5557","",98908,"eseidl@sjmms.org","Esther Seidl","705 S 72nd Ave","","Yakima","WA",98908,"",4846
6136,"Saint George's School","Spokane","WA","2015-09-01 19:41:33","2015-09-01 19:41:33",2,"2929 W. Waikiki Rd",0,"509-464-8803","",99208,"shane.kangas@sgs.org","Saint George's School","2929 W. Waikiki Rd","","Spokane","WA",99208,"",""
5626,"St. Joseph School","Seattle","WA","2015-05-07 15:12:08","2015-05-07 15:12:08",1,"700 18th Ave. E",0,"(206) 329-3260","(206) 324-7773",98112,"bbriardy@stjosephsea.org","","","","","","","",944
