school_id,school_name,league_id,school_contact,school_phone,school_fax,school_email,billing_name,old_school_id
4102,Ave Maria Catholic School,1,0,(720) 842-5400,(720) 842-5402,kgauss@avemariaonline.org,,3414
4103,Babbitt School,2,0,(218) 827-3101,,,St. Louis ISD No.2142,3728
4104,Bafat Victory Academy,2,0,Plot 189,CBN Qtrs.,8056684412,,
4105,Baird Middle School,2,0,(413) 583-5685,(413) 583-5636,,,4216
4106,Bais Yaakov of Boston,2,0,(611) 796-5754,(617) 965-0345,,,3639
4107,Bakersfield Adventist Academy,2,0,(661) 871-1591,(661) 871-1594,,,3585
4108,Bald Eagle Area Jr-Sr High School,2,0,(814) 355-4868,(814) 355-2146,jwe100@psu.edu,Bald Eagle ASD,354
4109,Baraboo High School,2,0,(608) 355-3940,(608) 355-3962,theilman@baraboo.k12.wi.us,SD of Baraboo,2891
4110,Barrett Elementary,2,0,(570) 595-2422,(570) 595-2658,,,3478
4111,Barstow School,2,0,802-773-3763,,jxwilson@rnesu.org,,4931
4112,Bartlett High School,2,0,(630) 372-4700,(630) 372-4682,russell-3/bhs@dns.u46.k12.il.us,School Dist. U-46,1225
4113,Bartlett High School,2,0,630-372-4700,,candacequetsch@u-46.org,Bartlett High School,4685
4114,Bayshore Christian School,2,0,(813) 839-4297,(813) 839-1404,,,4079
4115,Bayshore Middle School,2,0,(732) 291-1380,(732) 291-2385,,,3834
4116,Bayside High School,2,0,(407) 956-5000,(407) 956-5009,youngm@brevardschools.org,Bayside HS  (Math Team),1226
4117,Baytown Jr. High School,2,0,(281) 420-4560,(281) 420-4908,,Goose Creek CISD,3541
4118,Bear Path Elementary,2,0,(203) 407-2115,,,,3753
4119,Beck Junior High School,2,0,(281) 647-3300,(281) 647-3317,,Katy ISD,2230
4120,Beckman School,1,0,563-875-7188,,cthomason@beckman.pvt.k12.ia.us,,4771
4121,Bedford Hills,2,0,(804) 384-7926,(804) 384-1703,irwinlh@lcsedu.net,,1758
4122,Bel Air Elementary,2,0,(402) 644-2539,(402) 644-2542,susanwarneke@npsne.org,,2363
4123,Bell Mountain Middle School,2,0,(909) 301-8496,(909) 301-5286,,Menifee USD,3312
4124,Bell Oaks,2,0,(856) 931-6273,(856) 931-9326,,,3832
4125,Ben Franklin School,2,0,(262) 255-8470,(262) 255-8482,scores@educontest.com,Menomonee FallsSD,3372
4126,Benedictine Academy,1,0,9083520670,9083520698,zylyftarianduela@yahoo.com,Kenneth Jennings,4923
4127,Benedictine MIlitary School,1,0,912 644 6528,,shannon.holland@bcsav.net,Benedictine Military,4885
4128,Benjamin E. Mays,2,0,(404) 699-4537,(404) 505-5104,,,3921
4129,Benjamin Franklin Elementary,2,0,,,,,4113
4130,Benton Middle School,2,0,(501) 776-5740,(501) 776-5749,laustin@bentonschools.org,Benton Middle School,848
4131,Berkeley Preparatory School,2,0,(813) 885-1673,(813) 886-6933,idedav@Berkeleyprep.org,,1688
4132,Bert Raney Elementary,2,0,(320) 564-4083,(320) 564-4781,ehalverson@yme.k12.mn.us,Yellow Medicine East Dist. No. 2190,2652
4133,Bethany School of Mathematics,2,0,(503) 533-1950,(503) 533-1953,bethanymathleague@gmail.com,Bethany School of Mathematics,3730
4134,Bexley High School,2,0,(614) 231-4591,(614) 338-2087,,Bexley CSD,3011
4135,Bishop Canevin High School,1,0,(412) 922-7400,,,,3841
4136,Bishop Dwenger High School,1,0,(219) 496-4700,(219) 496-4701,mpatbecker@aol.com,,1553
4137,Bishop Feehan High School,1,0,(508) 226-6223,,,,3687
4138,Bishop Foley Catholic High,1,0,248-585-1210,(248) 585-3667,sheehan@bishopfoley.org,Bishop Foley Catholic High,4726
4139,Bishop George Ahr High School,1,0,(732) 549-1108,(732) 494-2229,msochor@bgahs.org,,3309
4140,Bishop Hoban High School,1,0,(570) 829-2424,(570) 829-4412,,,178
4141,Bishop Kearney,2,0,718-236-6363 x259,718-236-7784,crazza@kearneyhs.org,Sal Fratto,4828
4142,Bishop Ludden Jr/Sr High School,1,0,315-468-2591,315-468-0097,hhess@syrdiocese.org,,4913
4143,Bishop Lynch High School,1,0,(214) 324-3607,(214) 324-3600,jeff.morrow@bishoplynch.org,Jeff Morrow,3574
4144,Bishop McGuinness High School,1,0,(336) 564-1010,(336) 564-1060,,,4277
4145,Bishop McHugh School,1,0,609-624-19000,609-624-9696,dmorinelli@bishopmchugh.com,,4886
4146,Bishop Moore High School,1,0,(407) 293-7651,(407) 296-8135,,,2669
4147,Bishop Sullivan Catholic High School,1,0,(757) 467-2881,(757) 467-0284,,,3439
4148,Bladen Lakes Primary,2,0,(910) 588-4606,,,,3396
4149,Blair Pointe Elementary,2,0,(765) 473-4741,(765) 472-5155,,,3655
4150,Blessed Sacrament,1,0,(712) 277-4739,(712) 258-3698,kimbellt@bishopheelan.org,Catholic Schools of Sioux City,140
4151,Blessed Sacrament,1,0,(202)966-6682,(202)966-4938,Schneider1213@gmail.com,Donna Schneider,4592
4152,Blessed Sacrament,1,0,(814) 455-1387,(814) 461-0247,,,4154
4153,Blessed Sacrament,1,0,(703) 998-4170,(703) 998-5033,,,3684
4154,Blessed Sacrament School,1,0,(618) 397-1111,(618) 397-8431,,,3376
4155,Blessed Sacrament School,1,0,(801) 572-5311,(801) 572-0251,,,3653
4156,Blessed Sacrament School,1,0,(608) 782-5564,(608) 782-7765,,Coulee Catholic Schools,4228
4157,Blessed Teresa of Calcutta,1,0,610-287-2500,,krobbins@blteresacalcutta.com,,4952
4158,Bloomfield Hills Middle School,2,0,(248) 341-6671,(248) 932-6026,,,2512
4159,Bloomington Hills Elementary,2,0,(435) 674-6495,(435) 652-4703,,,3768
4160,Blountstown Elementary,2,0,(850) 674-8169,(850) 674-8844,,,2803
4161,Blue Lakes Elementary,2,0,(305) 271-7411,(305) 279-5103,,,4206
4162,Bluewater Elementary,2,0,(850) 833-4240,,,Okaloosa Co. Bd.of Ed.,3399
4163,Blunt Middle School,2,0,(361) 758-2711,(361) 758-4690,,Aransas Pass ISD,3054
4164,Blythewood Middle School,2,0,(803) 691-6850,(803) 691-6860,dchilds@richland2.k12.sc.us,,1430
4165,Bob Jones Academy,2,0,(864) 242-5100,,smckisic@bobjonesacademy.net,,3777
4166,Bob Jones High School,2,0,256-772-2547,,kcox@madisoncity.k12.al.us,Kimberly Cox,4587
4167,Bobby's Run School,2,0,(609) 702-5555,(609) 702-1463,,Lumberton Bd. Of Ed.,3466
4168,Bogota Jr/Sr High School,2,0,(201) 441-4809,(201) 441-4849,jfrey@bogoto.boe,Board of Education,541
4169,Bois D' Arc Elementary,2,0,417 742-2203,,atombleson@ashgrove.k12.mo.us,,4835
4170,Boise City Elementary School,2,0,(580) 544-3161,(580) 544-2146,,,2887
4171,Bolton High School,2,0,(901) 873-8150,(901) 829-2479,,,3459
4172,Bond County Community Unit #2,2,0,(618) 664-1370,(618) 664-4786,lhinch@bccu2.k12.il.us,BCCUD #2,1118
4173,Bondurant-Farrar,2,0,515-967-7494,515-957-9099,julie_nash@bondurant.k12.ia.us,Bondurant-Farrar,4625
4174,Bondurant-Farrar Schools,2,0,515-967-7494,515-957-9099,julie_nash@bondurant.k12.ia.us,Bondurant-Farrar Schools Business Office,4849
4175,Bonneville Elementary,2,0,(801) 584-2913,(801) 584-2919,sarah.mack@slcschools.org,,4173
4176,Bordentown Regional High School,2,0,(609) 298-0025,(609) 291-0347,,Bordentown RSD,3733
4177,Boswell Elementary,2,0,(765) 869-5523,(765) 869-4384,jbrooks@boswell.beuton.k12.in.us,Benton Comm. Sch. Corp.,759
4178,Boulder Bluff Elementary,2,0,(843) 553-1223,(843) 820-4086,,Berkeley CSD,3529
4179,Bowden High School,2,0,(770) 258-5408,(770) 258-7278,,,4243
4180,Boylan Catholic High School,1,0,815-877-0531,815-877-2544,gdavies@boylan.org,,4357
4181,Bradford Central School,2,0,(607) 583-4616,(607) 583-4013,,,3448
4183,Braelinn Elementary,2,0,(770) 631-5410,(770) 631-5430,hudson.nance@fcboe.org,Braelinn Elementary,2060
4184,Bransford Elementary,2,0,(817) 788-4420,(817) 428-1203,,Grapevine-Colleyville ISD,938
4185,Brant Elementary School,2,0,(716) 926-2450,(716) 549-4439,,Evans Brant CS,3362
4186,Brebeuf Jesuit Preparatory School,1,0,(317) 872-7050,(317) 524-7144,llenne@brebeuf.org,,943
4187,Brewster School,2,0,(507) 842-5951,,,,3784
4188,Bridgemont Jr/Sr High School,2,0,(415) 333-7600,(415) 333-7603,,,3647
4189,Brigantine North Middle School,2,0,Len Long,(609) 266-3603,8203,lenlong@comcast.net,13-00726
4190,Brightwood Elementary School,2,0,(202) 722-5670,(202) 576-6168,,,4278
4191,Brooks Elementary,2,0,(256) 757-2171,(256) 656-1265,,,3781
4192,Brookstone School,2,0,(706) 660-9731,(706) 571-0178,pamfield@brookstone.ga.net,,1781
4193,Brophy College Prep,1,0,602-264-5291,602-266-3642,tsanford@brophyprep.org,,4914
4194,Browning Road Elementary,2,0,(661) 792-2113,(661) 792-5423,,McFarland USD,3304
4195,Brunswick High School,2,0,(330) 273-0490,(330) 273-0397,efreund@bcsoh.org,Brunswick CSD,4147
4196,Bulloch Academy,2,0,(912) 764-6297,(912) 764-3165,,,3778
4197,Burbank Elementary,2,0,(713) 696-2690,(713) 696-2691,,,4098
4198,Burdick School,2,0,414-294-1200,414-294-1216,contijl@milwaukee.k12.wi.us,,4309
4199,Burlington High School,2,0,(719) 346-8455,,,,3468
4200,Burton Adventist Academy,2,0,(817) 572-0081,(817) 561-4237,,,17
4201,Butterworth School,2,0,(309) 757-3505,(309) 757-3503,jpitra@molineschools.org,Moline SD No. 40,2503
4202,Byron Elementary,2,0,(478) 956-5020,(478) 956-5910,,Peach Co. Bd. Of Ed.,4047
4203,Cabrini Middle School,1,0,(313) 928-6610,(313) 928-8502,jdcrupi@hotmail.com,,146
4204,Calvary Christian,2,0,(302) 698-9388,,,,4213
4205,Calvert Hall College High School,1,0,410-825-4266,410-825-6826,brownr@calverthall.com,,4752
4206,Cambridge Elementary,2,0,(740) 439-3832,(740) 439-3832,,Cambridge City SD,2601
4207,Campbellsport Elementary,2,0,(920) 533-8032,,,Campbellsport SD,3754
4208,Canfield Middle School,2,0,(208) 664-9188,(208) 769-2951,,,3436
4209,Canisius High School,1,0,(716) 888-0466,(716) 883-1870,higgins@canisius.ed,,1927
4210,Canterbury School,2,0,(860) 210-3920,(860) 210-3988,,,4164
4211,Canyon Heights Academy,1,0,408-370-6727 ext. 13,408-370-7147,charr@chamail.net,,4593
4212,Cardinal Gibbons High School,1,0,(954) 491-2900,(954) 772-1025,,,473
4213,Cardinal Hickey Academy,1,0,4102860404,4102866334,6th@cardinalhickeyacademy.org,Cardinal Hickey Academy,4841
4214,Cardinal Ritter High School,1,0,317-924-4333,317-927-7822,ekoester@cardinalritter.org,,4692
4215,Carl Sandburg School,2,0,(815) 232-0340,(815) 232-1241,,,2794
4216,Carlisle High School,2,0,(937) 746-4481,(937) 746-6578,,Carlisle Bd. Of Ed.,3159
4217,Carmel High School,1,0,(847) 566-3000,(847) 566-8465,apetraitis@carmelhs.org,,1919
4218,Carnelian Elementary,2,0,(909) 484-5010,(909) 484-5015,,Alta Loma SD,3192
4219,Carrizo Springs Intermediate,2,0,(830) 876-3561,(830) 876-5132,,Carrizo Springs CISD,3317
4220,Carrollton Christian Academy,2,0,(972) 242-6688,(972) 245-0321,,,3860
4221,Carrollton School of the Sacred Heart,1,0,(305) 446-5673,(305) 529-6540,mdiaz@carrollton.org,,257
4222,Carrolton Christian Academy,2,0,(972) 242-6688,(972) 245-0321,,,3804
4223,Carteret High School,2,0,(732) 541-8960,(732) 541-4601,amachos@carteretschools.org,Carteret Bd. of Ed.,3752
4224,Carver Elementary School,2,0,(651) 702-8200,(651) 702-8291,,ISD 622,1191
4225,Cary Christian School,2,0,(919) 303-2560,(919) 367-7558,mrezentes@gmail.com,,3922
4226,Caryn Elementary School,2,0,(909) 941-9551,(909) 989-3997,,,3285
4227,Cascade High School,2,0,(319) 852-7509,(563) 852-7186,,Western Dubuque School,2478
4228,Cathedral Parish School,1,0,(904) 824-2861,(904) 829-2059,,,3065
4229,Cathedral School of St. Mary,1,0,(512) 476-1480,(512) 476-9922,,,4272
4230,Cather Elementary,2,0,(402) 715-1315,(402) 691-1432,,Millard PS,4006
4231,Catholic Central Elementary,1,0,937-324-4551,937-327-4070,mlemaster@ccirish.org,,4743
4232,Catholic Central Elementary,1,0,937-399-5451,,ballman@ccirish.org,Mary Callahan,4399
4233,Catholic Central High School,1,0,(248) 596-3810,(248) 596-3811,ahodgins@catholiccentral.net,,471
4234,Catholic Central High School,1,0,(262) 763-1510,(262) 763-1509,,,3659
4235,Catholic Central High School,1,0,(937) 325-9204,(937) 325-7426,,,3694
4236,Catholic High School,1,0,(256) 430-1760,(256) 430-1766,,,3700
4237,Catholic High School for Boys,1,0,(501) 664-3939,(501) 664-6549,phunter@lrchs.org,,24
4238,catholicHigh School,1,0,410-7326200,410- 732 7639,ccarolan@thecatholichighschool.org,catholic high,4998
4239,Caton Middle School,2,0,(505) 394-3338,,,Eunice PS,3380
4240,Cayuga Heights Elementary School,2,0,(607) 257-8557,(607) 257-8142,,Ithaca CSD,4059
4241,Cecil Avenue Middle School,2,0,(661) 721-5030,(661) 720-2722,,,3822
4242,Cedar Creek Elementary School,2,0,(609) 971-5850,(609) 971-2846,ehutelr@laceyschools.org,Lacey Township Bd. Of Ed.,2778
4243,Cedar Crest Elementary,2,0,(616) 754-3641,(616) 754-0338,,Greenville PS,3829
4244,Cedar Grove Elementary,2,0,(678) 874-3902,(678) 874-3910,,,3480
4245,Cedar Park Elementary,2,0,(952) 431-8360,(952) 431-8365,,ISD #196,3290
4246,Centennial Academy,2,0,(303) 347-4425,(303) 347-4430,,Littleton PS,3797
4247,Central Catholic High School,1,0,(978) 682-0260,,,,3852
4248,Central Catholic High School,1,0,814-371-3060,814-371-3215,aedwards@duboiscatholic.com,,4415
4249,Central Catholic School,1,0,(317) 783-7759,(317) 781-5964,,,3764
4250,Central High School,2,0,(616) 771-2310,(616) 771-2369,,,2038
4251,Central Middle School,2,0,(708) 614-4510,(708) 614-7271,,Community CSD#146,3813
4252,Chadbourne School,2,0,(510) 656-5242,(510) 656-6026,hsknutson@comcast.net,Susan Knutson,3803
4253,Challenger Elementary,2,0,(256) 428-7060,(256) 428-7064,vmsmith@hsv.k12.al.us,Huntsville City Schools,1889
4254,Chaloner Middle School,2,0,(252) 537-8540,(252) 537-9947,,Roanoke Rapids Graded SD,2870
4255,Chamblee Charter High School,2,0,(678) 676-6902,(678) 676-6910,Larisa_Tulchinsky@dekalbschoolsga.org,Chamblee Charter HS,2885
4256,Chamblee Middle School,2,0,(167) 887-4820,(678) 874-8210,,Dekalb Co. School System,2193
4257,Chapel Hill High School,2,0,(919) 929-2106,(919) 929-2106,,,3587
4258,Charles A. Upson Elementary School,2,0,(716) 478-4400,(716) 478-6857,,Lockport CSD,3510
4259,Charles England Intermediate,2,0,(336) 242-1552,(336) 242-1252,,,3014
4260,Charles Evans Hughes Middle School,2,0,(562) 595-0831,(562) 595-9221,,,732
4261,Charles F. Patton Middle School,2,0,(610) 347-2000,(610) 347-0421,,Unionville-Chadds Ford SD,3759
4262,Charles H. Tuttle Middle School,2,0,(828) 428-3080,(828) 428-0675,,Catawba Co. Schools,2102
4263,Charleston Catholic,1,0,Dorothy Pile,304-342-8415,25301,piledot@yahoo.com,25301
4264,Charlie Marshall Elementary School,2,0,(361) 758-3455,(361) 758-3046,,Aransas Pass ISD,3263
4265,Charlotte Catholic High School,1,0,(704) 543-1127,(704) 543-1217,,,3799
4266,Charlottesville Catholic School,1,0,434-964-0400,,a.bessell@cvillecatholic.org,,4894
4267,Charlottesville Catholic School,1,0,434-964-0400,,a.bessell@cvillecatholic.org,Kelly Trout,5000
4268,Chattanooga Christian School,2,0,423-266-1040,423-664-1239,mgordon@ccsk12.com,Billing Office,4561
4269,Cherokee Bend Elementary,2,0,(205) 871-3595,(205) 877-8312,odrezing@mtnbrook.k12.al.us,,1782
4270,Cherry Knoll Elementary,2,0,(231) 933-8955,(231) 933-8943,,,3786
4271,Chesterfield Elementary,2,0,(636) 537-4342,(636) 537-4347,,Rockwood SD,2872
4272,Chesterton High School,2,0,(219) 983-3730,(219) 983-3775,tberry@duneland.k12.in.us,,1223
4273,Chesterton High School,2,0,219-983-3730,219-983-3775,tberry@duneland.k12.in.us,Tommy Berry,4814
4274,Chicago Jesuit Academy,1,0,(773) 413-3022,(773) 638-6107,,,4234
4275,Chicago Jesuit Academy,1,0,773-638-6103,,diehl@cjacademy.org,,4395
4276,Chilton Middle School,2,0,(920)849-9152,,biesek@chilton.k12.wi.us,School District of Chilton,4567
4277,Chilton Middle School,2,0,920-849-9152,,biesek@chilton.k12.wi.us,,4820
4278,Chippens Hill Middle School,2,0,(860) 584-3881,(860) 584-4833,,,3763
4279,Chisholm Trail,2,0,(913) 780-7240,(913) 780-7249,,,3849
4280,Christ Our King-Stella Maris,1,0,(843) 884-4721,(843) 971-7280,coksm@ibm.net,,179
4281,Christ Our King-Stella Maris,1,0,843-884-4721,843-971-7850,ntezza@coksm.org,Nancy Tezza,4773
4282,Christ Prince of Peace,1,0,(646) 394-6840,,aanderson@cpopschool.com,,3060
4283,Christ the King,2,0,(404) 233-0383,(404) 266-0704,CKSAtlanta@aolcom,Christ the King,1048
4284,Christ the King,1,0,509-946-6158,,reid.peterson@pnnl.gov,Suzanne Russcher,4742
4285,Christ the King,1,0,Shaun Higgins,404-233-0383,30305,shiggins@christking.org,7231402
4286,Christ the King,1,0,(480) 844-4480,(480) 844-4498,,,3431
4287,Christ the King,1,0,(206) 364-6890,(206) 283-2577,llundquist@ckseattle.org,,1942
4288,Christ the King,1,0,(859) 266-5641,,,,3599
4289,Christ the King,1,0,(214) 365-1234,(214) 365-1236,kdow@cks.org,,2146
4290,Christ the King Catholic,1,0,251-621-8439,,sbddgd@aol.com,Brett Davis,4346
4291,Christ the King Catholic School,1,0,757 625-4951,757 623-5212,mgoretskie@ctkparish.org,Dr. Francine Gagne,4859
4292,Christ the King Preparatory School,1,0,973-483-0033,,jperez@ctkprep.org,,4414
4293,Christ the King Regional,1,0,(856) 429-2084,,kdunn@ckrs.org,Kathleen Dunn,4255
4294,Christ the King School,1,0,(615) 292-9465,(615) 292-2477,tracey.williamson@cks-nashville.org,,956
4295,Christ the King School,1,0,(816) 363-1113,(816) 363-2889,,,3298
4296,Christ the King School,1,0,615-292-9465,,tracey.williamson@cks-nashville.org,Tracey Williamson,4624
4297,Christ the King School,1,0,615-292-9465,,tracey.williamson@ctk.org,Christ the King School,4660
4298,Christ the King School,1,0,402-391-0977,402-391-2418,eythl@ctkomaha.org,Christopher Segrell,4767
4299,Christ the King School,1,0,402-391-0977,402-391-2418,eythl@ctkomaha.org,Christopher Segrell,4768
4300,Christ the King School,1,0,(904) 724-2954,(904) 731-8004,,,3692
4301,Christ The Teacher,1,0,201-944-0421,,vanordenvo6@aol.com,,4332
4302,Christian Brothers High School,1,0,901-261-4900,,gbrandt@cbhs.org,Gwendolyn Brandt,4730
4303,Christian County Middle School,2,0,(270) 887-7070,(270) 887-1189,,Christian Co. Bd. Of Ed.,4221
4304,Christian Heritage Academy,2,0,(405) 672-1787,(405) 672-1839,,,3718
4305,Christian Life Preparatory School,2,0,(817) 293-1500,(817) 293-1500,,,3877
4306,Circle View Elementary,2,0,(714) 893-5035,(714) 898-6495,abrasie@ovsd.org,Ocean View SD,2155
4307,Clara Barton School C.S. 50X,2,0,(718) 542-2650,(718) 589-7284,,,4110
4308,Claremont School,2,0,914-762-5830,,mlockwood@ossining.k12.ny.us,Ossining USFD,4912
4309,Clark High School,2,0,(469) 752-7200,(469) 752-7201,,Plano ISD,3671
4310,Claymont Elementary School,2,0,(302) 792-3880,(302) 792-3877,,,3719
4311,Clear Creek Elementary,2,0,(641) 357-5288,(641) 357-5701,,Clear Lake Comm. SD,3066
4312,Cleveland Road Elementary,2,0,(706) 357-5333,(706) 357-5336,,,4037
4313,Cobb Mountain Elementary School,2,0,(707) 928-5229,(707) 928-5414,,Middletown USD,1379
4314,Cobb Mtn. Elementary,2,0,707-987-1450,707-928-5414,kim.ferguson@middletownusd.org,Marilyn Bingham,4978
4315,Coburn Elementary,2,0,(413) 263-3318,(413) 781-2604,,,3591
4316,Colham Ferry Elementary,2,0,(706) 769-7764,(706) 769-3500,,,2271
4317,College Park Elementary,2,0,(949) 936-5550,(949) 936-5559,,Irvine USD,4005
4318,Colonial Elementary School,2,0,(540) 977-6773,(540) 977-4219,,,3403
4319,Columbia Academy,2,0,(931) 388-5369,,,,3286
4320,Columbia Middle School,2,0,(908) 464-1600,(908) 464-0017,,Berkeley Heights Bd. Of Ed.,3845
4321,Columbus High School,1,0,(319) 233-3358,(319) 235-0733,rforker@columbushigh.org,,4055
4322,Columbus Torah Academy,2,0,(614) 864-0299,(614) 864-2218,,,4251
4323,Community Christian School,2,0,(225) 665-5696,(225) 665-3098,,,4042
4324,Community School of Naples,2,0,(239) 597-7575,,,,3570
4325,Concordia High School,2,0,(281) 351-2547,(281) 255-8806,,,3861
4326,Conifer High School,2,0,(303) 982-5255,(303) 982-5256,,,4274
4327,Conley Elementary,2,0,(480) 812-6200,(480) 812-6220,,Chandler USD#80,3482
4328,Conn-Area Catholic,1,0,(724) 628-5090,(724) 628-1745,,,1369
4329,Constable School,2,0,(732) 297-2488,(732) 297-7807,,South Brunswick Bd. Of Ed.,3561
4330,Convent of the Sacred Heart,1,0,2127224745,,efavaro@cshnyc.org,Catherine Hubacz,5002
4331,Convent of the Sacred Heart,2,0,(203) 532-3523,(203) 531-5206,,,3266
4332,Convent of the Sacred Heart,1,0,(212) 722-4745,(212) 996-1784,tlerch@cshnyc.org,,546
